file_name,atoms,residues,surface_area,volume,sasa,hbonds,clashes,coulombic_mean,hydrophilic_ratio,molecular_weight,aromaticity,instability_index,gravy,aliphatic_index,absolute_charge_per_residue,hydrophilic_index
agaI.txt,3925,251,1,36390,12804,208,216,-1.24,0.999921899,27723.52,0.0518,42.47,-0.0733,104.5,-0.0232,-0.0733
agaR.txt,4150,269,1,38610,13647,226,214,-1.5,0.999926724,29572.15,0.0372,43.6,-0.2316,95.32,-0.0295,-0.2316
agaS.txt,5831,384,1,54390,15249,345,400,-1.81,0.999934422,41782.03,0.0859,43.02,0.0477,90.81,-0.03,0.0477
agp.txt,6374,413,1,59260,19286,365,362,-1.48,0.999948149,45682.38,0.0847,43.29,-0.3247,80.77,-0.0191,-0.3247
ahpC.txt,2894,187,7945,26860,9609.3,171,174,-2.43,0.173196799,20761.19,0.1016,33.31,-0.2775,78.82,-0.0484,-0.2775
ahpF.txt,7935,521,2,73400,24326,466,379,-1.6,0.999917783,56176.43,0.0576,28.11,-0.1226,96.05,-0.0223,-0.1226
aidB.txt,8491,541,1,79140,22161,537,567,0.9,0.999954876,60589.25,0.0813,45.25,-0.1357,90.22,0.0051,-0.1357
ais.txt,3150,200,9122,28710,11520,186,183,1.21,0.208159722,22256.29,0.08,29.4,-0.223,91.75,0.0353,-0.223
aldA.txt,7346,479,1,68180,18919,440,471,-2.15,0.999947143,52272.17,0.0793,31.31,-0.0559,92.71,-0.0292,-0.0559
alkA.txt,4424,282,1,40930,12626,242,271,0.89,0.999920798,31392.93,0.1064,48.46,-0.0362,91.84,0.0065,-0.0362
alkB.txt,3364,216,9184,31350,10945,182,208,0.15,0.160895386,24075.25,0.1019,48.09,-0.2861,80.05,0.0051,-0.2861
allA.txt,2525,160,7372,23730,8955.7,121,144,-3.58,0.176837098,18169.33,0.0875,34.51,-0.1475,98.06,-0.0742,-0.1475
allB.txt,6915,453,1,64300,15749,427,501,-2.14,0.999936504,49601.06,0.0684,40.91,-0.1806,86.09,-0.0364,-0.1806
allC.txt,6353,411,1,58550,17064,402,542,-2.21,0.999941397,45693.49,0.0827,41.77,-0.2299,82.34,-0.0309,-0.2299
allR.txt,4150,271,1,37800,16117,235,190,-0.73,0.999937954,29269.32,0.0517,41.69,0.0734,106.16,-0.0149,0.0734
alpA.txt,1171,70,4406,10550,5805.5,48,52,2.72,0.241064508,8132.52,0.0857,59.42,-0.3314,92,0.0928,-0.3314
alr.txt,5514,359,1,50720,15522,330,367,0.14,0.999935575,39152.49,0.0641,41.53,-0.1056,91.03,-0.0045,-0.1056
alsB.txt,4678,311,1,42620,15179,263,295,-0.35,0.99993412,32909.51,0.0643,21.02,0.0145,93.54,-0.0015,0.0145
alsK.txt,4721,309,1,43690,14698,253,325,-0.56,0.999931964,33820.57,0.0712,42.62,-0.0443,87.83,-0.0054,-0.0443
amiA.txt,4509,289,1,41110,17753,246,217,3.03,0.999943671,31411.73,0.0519,32.3,-0.3183,89.17,0.068,-0.3183
amiB.txt,6773,445,2,62330,29986,311,363,0.3,0.999933302,47984.64,0.0517,42.95,-0.2971,87.26,0.014,-0.2971
amn.txt,7543,484,1,70500,21978,426,522,-1.25,0.9999545,53994.23,0.095,39.43,-0.2948,86.3,-0.0188,-0.2948
ampD.txt,2840,183,7358,26020,8927.9,158,182,-1.36,0.175842023,20535.93,0.0984,42.79,-0.3087,80,-0.0432,-0.3087
ampE.txt,4613,284,1,42900,13836,270,273,2.36,0.999927725,32121.58,0.1232,25.73,0.4739,117.78,0.0339,0.4739
amyA.txt,7759,495,1,72760,18818,458,592,-6.45,0.999946859,56638.69,0.1293,35.25,-0.3812,77.8,-0.0873,-0.3812
ansA.txt,5192,338,1,48640,15092,293,281,-2.24,0.99993374,37126.8,0.074,43.38,-0.1867,90.36,-0.0308,-0.1867
ansB.txt,5180,348,1,48050,16768,300,291,-0.74,0.999940363,36850.25,0.069,18.27,-0.1135,85.46,-0.0064,-0.1135
apaG.txt,1940,125,6287,17860,7910.7,86,115,-1.95,0.205253644,13866.59,0.088,38.24,-0.0448,97.36,-0.0505,-0.0448
araA.txt,7815,500,1,72430,21426,452,551,-1.47,0.999953328,56073.35,0.09,28.3,-0.2206,85.06,-0.0173,-0.2206
araC.txt,4647,292,1,43340,15448,246,293,-0.68,0.999935267,33383.51,0.113,33.73,-0.3154,84.86,-0.0084,-0.3154
araD.txt,3551,231,9442,32440,11334,208,230,-1.8,0.166931357,25518.61,0.0823,28.25,-0.2459,82.73,-0.0326,-0.2459
araF.txt,5022,329,1,46120,16399,282,268,-0.7,0.999939021,35540.49,0.0729,28.25,-0.1863,82.77,-0.0064,-0.1863
arcA.txt,3826,238,1,35820,12380,209,237,-1.72,0.999919225,27291.7,0.0672,34.42,-0.487,90.55,-0.0417,-0.487
argC.txt,5055,334,1,46720,13899,281,326,-1.63,0.999928052,35951.69,0.0838,26.74,0.1629,101.68,-0.0284,0.1629
argG.txt,6936,447,1,64630,23354,410,416,-1.43,0.999957181,49897.83,0.085,39.62,-0.3711,82.53,-0.0326,-0.3711
argO.txt,3322,211,9641,30820,11364,197,197,1.41,0.151619148,23175.43,0.1327,39.03,0.8336,120.33,0.0272,0.8336
argP.txt,4746,297,1,43890,15162,256,303,-0.52,0.999934046,33471.29,0.064,52.91,-0.1727,99.83,-0.0063,-0.1727
argR.txt,2413,156,8153,21980,10288,125,124,-1.58,0.207523328,16994.32,0.0641,48.22,-0.0071,100.71,-0.0346,-0.0071
argS.txt,9065,577,2,84300,25557,551,586,-2.17,0.999921744,64682.22,0.0815,30.05,-0.2579,89.5,-0.0315,-0.2579
aroA.txt,6479,427,1,60310,14814,379,446,-1.82,0.999932496,46095.26,0.0656,28.78,-0.0049,94.66,-0.023,-0.0049
aroC.txt,5493,361,1,51170,17268,331,340,-0.91,0.999942089,39136.99,0.0554,33.23,-0.267,87.29,-0.016,-0.267
aroD.txt,3889,252,8935,36020,10395,253,241,-1.97,0.14045214,27466.34,0.0556,37.87,0.0651,99.96,-0.0354,0.0651
aroE.txt,4140,272,1,38100,12014,246,245,-1.43,0.999916764,29413.28,0.0772,33.65,0.0879,100.88,-0.0323,0.0879
aroF.txt,5407,356,1,50180,15035,332,373,-1.48,0.999933489,38803.54,0.0478,41.54,-0.2966,86.38,-0.0272,-0.2966
aroL.txt,2689,174,7265,24840,8548,160,151,-2.23,0.150093589,19150.61,0.0517,44.05,-0.0144,100.34,-0.0535,-0.0144
aroM.txt,3554,225,9127,33000,10680,198,260,-3.4,0.145411985,24916.62,0.0311,54.84,0.1662,126.89,-0.0615,0.1662
arpB.txt,2564,157,1,23750,16384,87,97,0.38,0.999938965,18233.59,0.0701,55.5,-0.4803,90.13,0.0075,-0.4803
arsR.txt,1891,117,6114,17380,7522.7,96,94,0.28,0.187259893,13252.41,0.0513,49.31,0.0154,116.75,0.0147,0.0154
artI.txt,3787,243,1,35050,12978,214,229,-1.01,0.999922947,26929.22,0.0988,20.5,-0.3288,80.29,-0.0096,-0.3288
artP.txt,3816,242,9482,35490,11344,214,167,-0.62,0.164139633,27021.74,0.062,40.1,-0.1343,99.96,-0.0119,-0.1343
artQ.txt,3781,238,1,34790,15130,208,134,0.99,0.999933906,26216.8,0.1134,39.51,0.7176,124.2,0.0151,0.7176
ascG.txt,5198,336,1,47840,16423,299,350,-0.63,0.99993911,36812.77,0.0625,35.8,-0.0717,97.02,-0.0109,-0.0717
aslA.txt,8423,551,2,78700,23822,482,618,-1.08,0.999916044,60716.89,0.1016,38.16,-0.4127,68.68,-0.0148,-0.4127
asmA.txt,9655,617,3,90670,38523,513,541,-1.81,0.999922124,68962.01,0.0616,38.45,-0.4222,89.92,-0.0221,-0.4222
asnA.txt,5135,330,1,47630,14668,301,314,-2.44,0.999931824,36650.1,0.0697,34.21,-0.2894,93.09,-0.0373,-0.2894
asnC.txt,2411,152,8601,21830,10805,109,95,-0.33,0.203979639,16887.47,0.0658,38.12,0.0618,109.74,-0.0082,0.0618
aspA.txt,7354,478,1,67850,22331,448,410,-1.83,0.999955219,52355.56,0.0607,37.34,-0.0661,96.88,-0.0289,-0.0661
aspS.txt,9257,590,2,86070,29118,520,505,-1.2,0.999931314,65912.69,0.0797,36.2,-0.2646,86.83,-0.0197,-0.2646
astA.txt,5377,344,1,50020,16096,306,395,-0.57,0.999937873,38455.42,0.093,32.57,-0.1968,84.8,-0.0137,-0.1968
astB.txt,6869,447,1,64400,16197,433,509,-1.07,0.99993826,49297.97,0.0738,42.1,-0.2732,87.74,-0.0208,-0.2732
astD.txt,7440,492,1,68780,20717,447,537,-0.8,0.99995173,53025.68,0.0711,36.65,-0.0864,91.14,-0.0156,-0.0864
atoA.txt,3224,216,8962,29660,10899,178,222,-1.25,0.177722727,22959.42,0.0417,47.4,0.1722,97.59,-0.0231,0.1722
atoB.txt,5722,394,1,52350,15868,343,387,-0.4,0.99993698,40352.03,0.0406,28.95,0.268,101.7,-0.0025,0.268
atoC.txt,7391,461,2,68600,27071,394,353,-0.61,0.99992612,52175.8,0.0542,46.52,-0.1681,102.23,-0.0139,-0.1681
atoD.txt,3346,220,8704,30470,10481,190,243,-1.64,0.169544891,23525.94,0.0364,25.01,0.1555,108.09,-0.0324,0.1555
atpA.txt,7817,513,1,72720,23493,465,409,-0.77,0.999957434,55221.41,0.0604,26.66,-0.0448,99.3,-0.0114,-0.0448
atpB.txt,4374,271,1,41300,22373,193,265,-0.83,0.999955303,30302.87,0.1218,43.48,0.8074,131.62,-0.0069,0.8074
atpE.txt,1191,79,4598,10760,5920.6,73,58,-0.74,0.223389521,8256.04,0.0759,13.97,1.2671,137.22,-0.0316,1.2671
atpF.txt,2478,156,1,21790,15523,156,33,-0.37,0.999935579,17263.75,0.0321,52.78,-0.2135,105.96,-0.0088,-0.2135
atpG.txt,4473,287,1,41420,16170,267,211,0.94,0.999938157,31577.07,0.0592,29.25,-0.2272,91.74,0.0134,-0.2272
atpH.txt,2727,177,9200,25290,11556,147,106,-1.47,0.203876774,19332.01,0.0452,37.12,0.0627,103.16,-0.0412,0.0627
atpI.txt,2027,126,7166,18290,8917.7,113,70,2.61,0.196429573,13631.55,0.1032,19.65,1.3103,153.1,0.0609,1.3103
avtA.txt,6587,417,1,61660,17761,381,419,-1.06,0.999943697,46710.69,0.0887,46.62,-0.0652,96.64,-0.0207,-0.0652
baeS.txt,7353,467,2,68080,30301,396,349,0.01,0.999933996,51990.68,0.0771,31.87,-0.2077,94.84,0.0009,-0.2077
barA.txt,14469,918,4,135400,55003,792,607,-1.98,0.999927277,102452.03,0.0458,45.34,-0.1094,104.96,-0.0296,-0.1094
basS.txt,5823,363,2,53950,24994,327,321,-0.87,0.999919981,41028.75,0.0551,45.28,-0.0496,111.76,-0.0176,-0.0496
bcsB.txt,12112,779,3,113200,45061,579,606,-0.96,0.999933424,86022.65,0.0822,43.76,-0.1259,90.86,-0.0099,-0.1259
bcsE.txt,8332,523,2,78040,28812,407,416,-0.7,0.999930584,59427.43,0.0746,45.45,-0.2272,95.3,-0.0103,-0.2272
bcsG.txt,8689,559,2,81130,27976,477,521,-1.05,0.99992851,62031.2,0.1234,42.61,0.0224,88.8,-0.0096,0.0224
betI.txt,3089,195,9292,28100,11240,203,147,1.53,0.173309609,21814.76,0.0564,50.71,-0.28,94.21,0.031,-0.28
bfr.txt,2579,158,7286,23680,8945.8,173,124,-4.38,0.185539583,18494.82,0.0759,49.06,-0.4722,104.94,-0.0887,-0.4722
bglG.txt,4548,278,1,42170,14524,259,264,-0.39,0.999931148,32096.77,0.0719,41.93,-0.204,105.22,-0.0067,-0.204
bglX.txt,11729,765,2,109200,29468,704,720,-0.84,0.99993213,83459.06,0.0771,23.5,-0.26,82.86,-0.0099,-0.26
bioB.txt,5387,346,1,50310,16521,316,293,-1.43,0.999939471,38647.69,0.0665,37.38,-0.3824,80.4,-0.0233,-0.3824
bioD.txt,3400,225,8500,31370,10239,194,164,-1.04,0.169840805,24139.3,0.0756,44.15,0.016,92.44,-0.0184,0.016
bioF.txt,5830,384,1,54000,17240,353,302,0.62,0.999941995,41593.77,0.0651,44.5,-0.076,93.62,-0.0038,-0.076
bioH.txt,4034,256,9132,37540,10733,229,220,-0.24,0.149166123,28504.66,0.0859,38.29,0.0387,101.72,-0.0067,0.0387
bipA.txt,9455,607,2,88720,28147,512,646,-2.67,0.999928944,67354.66,0.0593,29.29,-0.2979,92.27,-0.035,-0.2979
birA.txt,5052,321,1,46260,15311,283,332,0.38,0.999934687,35311.56,0.0654,35.5,-0.0305,110.03,0.0022,-0.0305
borD.txt,1500,97,5724,13600,7424,78,69,1.34,0.228987069,10447.16,0.0722,18.62,0.2052,94.54,0.0479,0.2052
btuD.txt,3838,249,9753,35580,11535,212,222,1.06,0.154486346,27080.87,0.0402,38.49,-0.1321,100,0.0136,-0.1321
btuE.txt,2874,183,7271,26230,8814.2,157,231,-1.7,0.175081119,20469.32,0.0984,34.09,-0.1306,85.74,-0.0405,-0.1306
btuR.txt,3074,196,9915,28290,12225,179,168,-0.81,0.188957055,21998.63,0.0714,20.96,-0.4398,81.07,-0.0151,-0.4398
caiA.txt,5889,380,1,55190,17190,386,371,-1.92,0.999941827,42557.95,0.1105,20.54,-0.2358,75.26,-0.0293,-0.2358
caiB.txt,6281,405,1,58330,19837,359,387,-1.77,0.999949589,45126.25,0.1012,37.19,-0.1714,82.44,-0.0363,-0.1714
caiD.txt,3966,261,1,36300,13071,242,254,-2.26,0.999923495,28189.9,0.0805,41.02,0.0077,93.95,-0.039,0.0077
caiF.txt,2195,131,8903,19820,11773,87,94,0.53,0.243778136,15436.01,0.0611,39.57,-0.3198,97.4,0.028,-0.3198
can.txt,3517,220,1,32720,12489,206,197,-0.58,0.99991993,25096.48,0.0727,32.94,-0.2314,101,-0.0203,-0.2314
carA.txt,5809,382,1,53460,15069,346,419,-0.9,0.999933639,41430.51,0.0681,30.92,-0.199,87.91,-0.0214,-0.199
cbl.txt,5076,316,1,46910,16419,254,327,-1.43,0.999939095,35855.43,0.0696,47.84,-0.1984,106.49,-0.0311,-0.1984
cbrA.txt,5677,354,1,52610,16064,309,380,3.87,0.999937749,40141.96,0.1158,40.38,-0.1895,84.63,0.0489,-0.1895
cbrC.txt,3015,195,8722,28390,10733,151,212,-5.15,0.187366067,22484.77,0.1436,33.64,-0.5359,59.03,-0.1079,-0.5359
cchA.txt,1408,97,4634,12800,5956.1,72,73,-0.36,0.221974111,9865.44,0.0103,33.19,0.4052,109.69,-0.0137,0.4052
ccmA.txt,3252,207,8885,30090,10769,177,172,0.43,0.174946606,23052.97,0.058,29.35,-0.2319,99.03,-0.0042,-0.2319
ccmB.txt,3466,220,9287,31740,10973,195,225,-0.19,0.153649868,23618.51,0.0773,37.65,1.1341,149.5,-0.001,1.1341
ccmD.txt,1101,69,5472,9871,7444.9,56,20,1.16,0.265000201,7745.05,0.1159,36.18,0.5232,100.43,0.0389,0.5232
ccmE.txt,2501,159,9852,22810,12970,120,89,-0.54,0.240400925,17698.11,0.0692,53.13,-0.2755,93.77,-0.0077,-0.2755
ccmG.txt,2945,185,8791,27110,11145,150,153,-0.77,0.211215792,20808.73,0.0973,19.21,-0.1881,101.3,-0.0125,-0.1881
ccmH.txt,5515,350,2,49980,26718,295,213,-0.15,0.999925144,39088.53,0.0771,49.46,-0.1689,94.51,-0.0008,-0.1689
cdaR.txt,6179,385,1,57220,21531,334,307,-0.23,0.999953555,43686.84,0.0519,40.01,-0.234,103.84,-0.0071,-0.234
cedA.txt,1321,80,5939,12150,7601.6,41,82,1.47,0.218717112,9376.7,0.1,75.77,-0.615,68.25,0.0326,-0.615
chaB.txt,1229,76,4107,11040,5345.6,66,92,-0.09,0.231704579,8944.71,0.1053,49.66,-1.4776,42.5,-0.0138,-1.4776
chaC.txt,3563,231,9937,33000,11598,187,216,-1.9,0.143214347,25512,0.0866,32.91,-0.0351,90.91,-0.04,-0.0351
chbA.txt,1793,116,6506,16460,8364.1,103,47,-2.54,0.222151815,12747.64,0.0172,41.09,-0.0871,102.76,-0.07,-0.0871
chbB.txt,1653,106,5015,14990,6287.6,88,73,0.43,0.202398371,11426.41,0.0566,41.56,0.2509,114.15,0.0056,0.2509
chbF.txt,7144,450,1,66360,17801,444,535,-0.77,0.999943823,50511.91,0.0867,26.8,-0.1044,99.47,-0.0164,-0.1044
chbG.txt,3889,249,9164,35780,10964,227,294,-1.72,0.164173659,27773.4,0.0843,39.49,-0.0514,95.62,-0.0309,-0.0514
chbR.txt,4628,280,1,42740,16374,234,321,0.47,0.999938928,32967.2,0.1464,35.94,-0.36,79,0.008,-0.36
cheA.txt,10076,654,3,93880,42103,509,434,-3.22,0.999928746,71381.55,0.0367,45.78,-0.0873,104.66,-0.0511,-0.0873
cheB.txt,5321,349,1,49270,15076,297,345,0.4,0.999933669,37467.33,0.0315,32.34,0.0499,98.42,0.0066,0.0499
cheR.txt,4617,286,1,42550,15220,254,255,1.02,0.999934297,32849.03,0.1049,42.45,-0.3339,86.68,0.0192,-0.3339
cheW.txt,2576,167,8368,23800,10625,119,139,-2.92,0.212423529,18083.57,0.0539,25.7,0.3222,121.86,-0.0686,0.3222
cheY.txt,1998,129,5404,18490,6522.4,107,105,-1.41,0.171470624,14097.21,0.0698,30.14,0.0271,98.37,-0.0347,0.0271
cheZ.txt,3332,214,1,30220,18879,196,90,-2.74,0.999947031,23975.76,0.0421,34.93,-0.3808,91.73,-0.0803,-0.3808
chpB.txt,1763,116,5490,16220,6938.8,84,109,-1.25,0.20879691,12492.26,0.0517,29.69,0.1767,105,-0.0356,0.1767
citB.txt,3600,226,1,33160,14114,182,189,-0.4,0.999929148,25453.04,0.0708,32.72,-0.1774,97.17,-0.0075,-0.1774
citC.txt,5664,352,1,52240,17425,311,381,0.7,0.999942611,40076.74,0.0909,40.49,-0.1418,94.23,0.0098,-0.1418
citD.txt,1515,98,4736,13850,6015.4,85,72,-1.5,0.212687436,10689.16,0.0306,25.65,0.0276,115.51,-0.0459,0.0276
citE.txt,4675,302,1,42960,14658,302,252,-1.31,0.999931778,33109.26,0.0464,50.26,-0.1652,100.86,-0.0229,-0.1652
clcA.txt,7248,473,1,66360,21935,425,478,1.23,0.999954411,50348.12,0.0888,32.15,0.6355,116.41,0.017,0.6355
clcB.txt,6328,418,1,58840,17057,377,389,0.48,0.999941373,44152.85,0.0813,30.73,0.7943,122.66,0.0077,0.7943
cld.txt,5184,326,1,46950,23066,268,189,-0.55,0.999956646,36454.3,0.0521,34.48,-0.2647,105.92,-0.0159,-0.2647
clpA.txt,11907,758,3,111400,42235,625,513,-1.27,0.999928969,84205.9,0.0541,35.29,-0.2979,95.86,-0.0165,-0.2979
clpS.txt,1704,106,6269,15580,8159.9,78,82,-1.62,0.231730781,12178.93,0.1038,29.14,-0.1802,87.36,-0.0502,-0.1802
cls.txt,7782,486,1,72370,21576,440,561,0.76,0.999953652,54821.72,0.0947,48.6,0.1901,106.23,0.007,0.1901
cmk.txt,3513,227,9796,32450,11311,192,163,-0.94,0.133940412,24746.04,0.0441,41.63,-0.0004,107.53,-0.0261,-0.0004
coaA.txt,5155,316,1,47650,16066,281,342,-0.46,0.999937757,36359.31,0.0949,44.38,-0.2475,99.62,-0.0084,-0.2475
coaD.txt,2507,159,7201,23260,8742.6,144,135,-0.23,0.176331984,17836.44,0.0755,31.75,0.0063,92.08,-0.0106,0.0063
cobC.txt,3234,203,8101,29970,9647.7,202,182,-1.36,0.160318003,23308.2,0.0887,32.94,-0.2138,93.74,-0.0321,-0.2138
cobT.txt,5250,359,1,48310,14094,327,292,-1.51,0.999929048,36986.59,0.0251,32.14,0.3423,110.95,-0.025,0.3423
cobU.txt,2817,181,8033,26280,9575.4,154,133,-1.48,0.161079433,20163.77,0.0497,36.89,-0.1348,100.22,-0.0435,-0.1348
copA.txt,12454,834,3,116800,40241,713,628,-1.61,0.999925449,87872.13,0.042,35.54,0.2047,104.64,-0.0206,0.2047
corA.txt,5114,316,1,47900,18575,298,235,-3.68,0.999946164,36589.27,0.1076,47.86,-0.1557,98.48,-0.0695,-0.1557
cpdB.txt,9917,647,2,92800,26744,558,696,-2.01,0.999925217,70831.32,0.0896,20.74,-0.2853,84.62,-0.0193,-0.2853
cpsB.txt,7405,478,1,69420,20941,424,512,-2.83,0.999952247,53015.67,0.0774,38.01,-0.173,92.38,-0.0403,-0.173
cpxA.txt,7306,457,2,68150,28379,394,373,-0.82,0.999929525,51623.62,0.0678,43.71,-0.2641,99.28,-0.015,-0.2641
crcA.txt,2996,186,9794,27900,12046,181,171,-0.33,0.186950025,21769.29,0.2043,28.63,-0.3263,65.59,-0.0115,-0.3263
creC.txt,7447,474,2,68540,28991,421,410,0.63,0.999931013,52175.52,0.0675,41.28,0.0063,106.2,0.0111,0.0063
csdA.txt,6053,401,1,56250,16459,377,407,-1.94,0.999939243,43233.66,0.0798,32.6,0.0411,93.52,-0.0289,0.0411
csgC.txt,1703,110,6042,15730,7732.8,67,85,-0.02,0.218653011,11966.51,0.0273,58.4,-0.1409,103.64,-0.0038,-0.1409
csgD.txt,3532,216,1,32640,13082,178,179,1,0.999923559,24935.16,0.0787,43.49,-0.4153,100.69,0.0249,-0.4153
csgE.txt,2081,129,8218,19150,10905,104,86,-1.47,0.246400734,14878.61,0.1318,37.69,-0.1302,92.25,-0.0397,-0.1302
csgG.txt,4330,277,1,39890,19598,208,205,-0.06,0.999948974,30556.78,0.0758,40.45,-0.0245,99.96,-0.0011,-0.0245
cueO.txt,7902,516,1,74990,21762,415,462,-0.76,0.999954048,56555.55,0.0698,31.55,-0.1645,84.3,-0.0125,-0.1645
cueR.txt,2116,135,7995,19300,10166,121,60,-0.86,0.213554987,15235,0.0444,64.31,-0.5785,83.85,-0.0301,-0.5785
cusC.txt,7049,457,2,65620,26250,415,263,-0.45,0.99992381,50268.97,0.0788,46.9,-0.2302,92.58,-0.0048,-0.2302
cusR.txt,3627,227,1,33520,12890,189,207,-0.9,0.99992242,25394.22,0.0705,28.12,0.0753,112.91,-0.0229,0.0753
cusS.txt,7613,480,2,70560,31153,420,390,-0.88,0.999935801,53737.41,0.0687,30.42,0.0121,103.98,-0.0166,0.0121
cutC.txt,3736,248,9793,34480,11741,227,187,-1.58,0.165914317,26761.48,0.0524,21.36,0.0161,93.31,-0.0275,0.0161
cyaY.txt,1659,106,4823,15700,5896.3,91,97,-5.82,0.182029408,12231.27,0.1038,40.43,-0.5915,79.15,-0.1342,-0.5915
cybC.txt,1988,128,6855,18030,8599.8,121,84,-0.82,0.202888439,14060.82,0.0469,28.58,-0.4891,84.84,-0.0102,-0.4891
cydC.txt,9010,573,2,83410,30039,537,475,0.8,0.99993342,62919.38,0.0733,38.47,0.2443,115.99,0.0061,0.2443
cynS.txt,2441,156,8989,22040,11479,118,98,-0.9,0.21691785,17048.63,0.0641,24.61,0.0917,112.05,-0.0282,0.0917
cynT.txt,3335,219,1,30790,12721,185,132,0.26,0.99992139,23764,0.0639,49.83,0.0073,90.96,0,0.0073
cyoA.txt,4894,315,1,45120,21333,245,290,-0.06,0.999953124,34910.9,0.1111,29.62,-0.0089,82.76,-0.0022,-0.0089
